x3/4 : ['a', 'b', 'c', 'e', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p', 'q', 'r', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']
s4 : ['n', 'j', 'i', 'x', 'z', 'g', 'y', 's', 'h', 'u', 'w', 'r', 'e', 't', 'c', 'b', 'l', 'a', 'd', 'o', 'p', 'v', 'm', 'f', 'q', 'k']
x3/4 : ['n', 'j', 'i', 'z', 'x', 'g', 'y', 's', 'h', 'u', 'w', 'r', 'e', 't', 'c', 'b', 'l', 'a', 'd', 'o', 'p', 'v', 'm', 'f', 'q', 'k']
s12 : ['c', 'b', 'l', 'a', 'd', 'o', 'p', 'v', 'm', 'f', 'q', 'k', 'n', 'j', 'i', 'z', 'x', 'g', 'y', 's', 'h', 'u', 'w', 'r', 'e', 't']
x11/2 : ['c', 'b', 'k', 'a', 'd', 'o', 'p', 'v', 'm', 'f', 'q', 'l', 'n', 'j', 'i', 'z', 'x', 'g', 'y', 's', 'h', 'u', 'w', 'r', 'e', 't']
s3 : ['r', 'e', 't', 'c', 'b', 'k', 'a', 'd', 'o', 'p', 'v', 'm', 'f', 'q', 'l', 'n', 'j', 'i', 'z', 'x', 'g', 'y', 's', 'h', 'u', 'w']
x5/8 : ['r', 'e', 't', 'c', 'b', 'o', 'a', 'd', 'k', 'p', 'v', 'm', 'f', 'q', 'l', 'n', 'j', 'i', 'z', 'x', 'g', 'y', 's', 'h', 'u', 'w']
s2 : ['u', 'w', 'r', 'e', 't', 'c', 'b', 'o', 'a', 'd', 'k', 'p', 'v', 'm', 'f', 'q', 'l', 'n', 'j', 'i', 'z', 'x', 'g', 'y', 's', 'h']
x4/6 : ['u', 'w', 'r', 'e', 'b', 'c', 't', 'o', 'a', 'd', 'k', 'p', 'v', 'm', 'f', 'q', 'l', 'n', 'j', 'i', 'z', 'x', 'g', 'y', 's', 'h']
pn/f : ['u', 'w', 'r', 'e', 'b', 'c', 't', 'o', 'a', 'd', 'k', 'p', 'v', 'm', 'n', 'q', 'l', 'f', 'j', 'i', 'z', 'x', 'g', 'y', 's', 'h']
x15/5 : ['u', 'w', 'r', 'e', 'b', 'q', 't', 'o', 'a', 'd', 'k', 'p', 'v', 'm', 'n', 'c', 'l', 'f', 'j', 'i', 'z', 'x', 'g', 'y', 's', 'h']
s15 : ['p', 'v', 'm', 'n', 'c', 'l', 'f', 'j', 'i', 'z', 'x', 'g', 'y', 's', 'h', 'u', 'w', 'r', 'e', 'b', 'q', 't', 'o', 'a', 'd', 'k']
x4/12 : ['p', 'v', 'm', 'n', 'y', 'l', 'f', 'j', 'i', 'z', 'x', 'g', 'c', 's', 'h', 'u', 'w', 'r', 'e', 'b', 'q', 't', 'o', 'a', 'd', 'k']
s11 : ['u', 'w', 'r', 'e', 'b', 'q', 't', 'o', 'a', 'd', 'k', 'p', 'v', 'm', 'n', 'y', 'l', 'f', 'j', 'i', 'z', 'x', 'g', 'c', 's', 'h']
x1/13 : ['u', 'm', 'r', 'e', 'b', 'q', 't', 'o', 'a', 'd', 'k', 'p', 'v', 'w', 'n', 'y', 'l', 'f', 'j', 'i', 'z', 'x', 'g', 'c', 's', 'h']
pm/b : ['u', 'b', 'r', 'e', 'm', 'q', 't', 'o', 'a', 'd', 'k', 'p', 'v', 'w', 'n', 'y', 'l', 'f', 'j', 'i', 'z', 'x', 'g', 'c', 's', 'h']
s13 : ['w', 'n', 'y', 'l', 'f', 'j', 'i', 'z', 'x', 'g', 'c', 's', 'h', 'u', 'b', 'r', 'e', 'm', 'q', 't', 'o', 'a', 'd', 'k', 'p', 'v']
pj/h : ['w', 'n', 'y', 'l', 'f', 'h', 'i', 'z', 'x', 'g', 'c', 's', 'j', 'u', 'b', 'r', 'e', 'm', 'q', 't', 'o', 'a', 'd', 'k', 'p', 'v']
s15 : ['s', 'j', 'u', 'b', 'r', 'e', 'm', 'q', 't', 'o', 'a', 'd', 'k', 'p', 'v', 'w', 'n', 'y', 'l', 'f', 'h', 'i', 'z', 'x', 'g', 'c']
x9/3 : ['s', 'j', 'u', 'o', 'r', 'e', 'm', 'q', 't', 'b', 'a', 'd', 'k', 'p', 'v', 'w', 'n', 'y', 'l', 'f', 'h', 'i', 'z', 'x', 'g', 'c']
pd/l : ['s', 'j', 'u', 'o', 'r', 'e', 'm', 'q', 't', 'b', 'a', 'l', 'k', 'p', 'v', 'w', 'n', 'y', 'd', 'f', 'h', 'i', 'z', 'x', 'g', 'c']
x14/15 : ['s', 'j', 'u', 'o', 'r', 'e', 'm', 'q', 't', 'b', 'a', 'l', 'k', 'p', 'w', 'v', 'n', 'y', 'd', 'f', 'h', 'i', 'z', 'x', 'g', 'c']
po/i : ['s', 'j', 'u', 'i', 'r', 'e', 'm', 'q', 't', 'b', 'a', 'l', 'k', 'p', 'w', 'v', 'n', 'y', 'd', 'f', 'h', 'o', 'z', 'x', 'g', 'c']
x10/7 : ['s', 'j', 'u', 'i', 'r', 'e', 'm', 'a', 't', 'b', 'q', 'l', 'k', 'p', 'w', 'v', 'n', 'y', 'd', 'f', 'h', 'o', 'z', 'x', 'g', 'c']
pd/g : ['s', 'j', 'u', 'i', 'r', 'e', 'm', 'a', 't', 'b', 'q', 'l', 'k', 'p', 'w', 'v', 'n', 'y', 'g', 'f', 'h', 'o', 'z', 'x', 'd', 'c']
x11/13 : ['s', 'j', 'u', 'i', 'r', 'e', 'm', 'a', 't', 'b', 'q', 'p', 'k', 'l', 'w', 'v', 'n', 'y', 'g', 'f', 'h', 'o', 'z', 'x', 'd', 'c']
s5 : ['o', 'z', 'x', 'd', 'c', 's', 'j', 'u', 'i', 'r', 'e', 'm', 'a', 't', 'b', 'q', 'p', 'k', 'l', 'w', 'v', 'n', 'y', 'g', 'f', 'h']
x9/14 : ['o', 'z', 'x', 'd', 'c', 's', 'j', 'u', 'i', 'b', 'e', 'm', 'a', 't', 'r', 'q', 'p', 'k', 'l', 'w', 'v', 'n', 'y', 'g', 'f', 'h']
s6 : ['v', 'n', 'y', 'g', 'f', 'h', 'o', 'z', 'x', 'd', 'c', 's', 'j', 'u', 'i', 'b', 'e', 'm', 'a', 't', 'r', 'q', 'p', 'k', 'l', 'w']
x1/0 : ['n', 'v', 'y', 'g', 'f', 'h', 'o', 'z', 'x', 'd', 'c', 's', 'j', 'u', 'i', 'b', 'e', 'm', 'a', 't', 'r', 'q', 'p', 'k', 'l', 'w']
s7 : ['t', 'r', 'q', 'p', 'k', 'l', 'w', 'n', 'v', 'y', 'g', 'f', 'h', 'o', 'z', 'x', 'd', 'c', 's', 'j', 'u', 'i', 'b', 'e', 'm', 'a']
x5/8 : ['t', 'r', 'q', 'p', 'k', 'v', 'w', 'n', 'l', 'y', 'g', 'f', 'h', 'o', 'z', 'x', 'd', 'c', 's', 'j', 'u', 'i', 'b', 'e', 'm', 'a']
s7 : ['j', 'u', 'i', 'b', 'e', 'm', 'a', 't', 'r', 'q', 'p', 'k', 'v', 'w', 'n', 'l', 'y', 'g', 'f', 'h', 'o', 'z', 'x', 'd', 'c', 's']
x0/11 : ['k', 'u', 'i', 'b', 'e', 'm', 'a', 't', 'r', 'q', 'p', 'j', 'v', 'w', 'n', 'l', 'y', 'g', 'f', 'h', 'o', 'z', 'x', 'd', 'c', 's']
s10 : ['y', 'g', 'f', 'h', 'o', 'z', 'x', 'd', 'c', 's', 'k', 'u', 'i', 'b', 'e', 'm', 'a', 't', 'r', 'q', 'p', 'j', 'v', 'w', 'n', 'l']
x7/12 : ['y', 'g', 'f', 'h', 'o', 'z', 'x', 'i', 'c', 's', 'k', 'u', 'd', 'b', 'e', 'm', 'a', 't', 'r', 'q', 'p', 'j', 'v', 'w', 'n', 'l']
s2 : ['n', 'l', 'y', 'g', 'f', 'h', 'o', 'z', 'x', 'i', 'c', 's', 'k', 'u', 'd', 'b', 'e', 'm', 'a', 't', 'r', 'q', 'p', 'j', 'v', 'w']
x8/9 : ['n', 'l', 'y', 'g', 'f', 'h', 'o', 'z', 'i', 'x', 'c', 's', 'k', 'u', 'd', 'b', 'e', 'm', 'a', 't', 'r', 'q', 'p', 'j', 'v', 'w']
s7 : ['t', 'r', 'q', 'p', 'j', 'v', 'w', 'n', 'l', 'y', 'g', 'f', 'h', 'o', 'z', 'i', 'x', 'c', 's', 'k', 'u', 'd', 'b', 'e', 'm', 'a']
pb/j : ['t', 'r', 'q', 'p', 'b', 'v', 'w', 'n', 'l', 'y', 'g', 'f', 'h', 'o', 'z', 'i', 'x', 'c', 's', 'k', 'u', 'd', 'j', 'e', 'm', 'a']
x3/2 : ['t', 'r', 'p', 'q', 'b', 'v', 'w', 'n', 'l', 'y', 'g', 'f', 'h', 'o', 'z', 'i', 'x', 'c', 's', 'k', 'u', 'd', 'j', 'e', 'm', 'a']
s10 : ['x', 'c', 's', 'k', 'u', 'd', 'j', 'e', 'm', 'a', 't', 'r', 'p', 'q', 'b', 'v', 'w', 'n', 'l', 'y', 'g', 'f', 'h', 'o', 'z', 'i']
x6/0 : ['j', 'c', 's', 'k', 'u', 'd', 'x', 'e', 'm', 'a', 't', 'r', 'p', 'q', 'b', 'v', 'w', 'n', 'l', 'y', 'g', 'f', 'h', 'o', 'z', 'i']
pe/l : ['j', 'c', 's', 'k', 'u', 'd', 'x', 'l', 'm', 'a', 't', 'r', 'p', 'q', 'b', 'v', 'w', 'n', 'e', 'y', 'g', 'f', 'h', 'o', 'z', 'i']
x4/8 : ['j', 'c', 's', 'k', 'm', 'd', 'x', 'l', 'u', 'a', 't', 'r', 'p', 'q', 'b', 'v', 'w', 'n', 'e', 'y', 'g', 'f', 'h', 'o', 'z', 'i']
pf/p : ['j', 'c', 's', 'k', 'm', 'd', 'x', 'l', 'u', 'a', 't', 'r', 'f', 'q', 'b', 'v', 'w', 'n', 'e', 'y', 'g', 'p', 'h', 'o', 'z', 'i']
x6/0 : ['x', 'c', 's', 'k', 'm', 'd', 'j', 'l', 'u', 'a', 't', 'r', 'f', 'q', 'b', 'v', 'w', 'n', 'e', 'y', 'g', 'p', 'h', 'o', 'z', 'i']
po/i : ['x', 'c', 's', 'k', 'm', 'd', 'j', 'l', 'u', 'a', 't', 'r', 'f', 'q', 'b', 'v', 'w', 'n', 'e', 'y', 'g', 'p', 'h', 'i', 'z', 'o']
x7/2 : ['x', 'c', 'l', 'k', 'm', 'd', 'j', 's', 'u', 'a', 't', 'r', 'f', 'q', 'b', 'v', 'w', 'n', 'e', 'y', 'g', 'p', 'h', 'i', 'z', 'o']
s10 : ['w', 'n', 'e', 'y', 'g', 'p', 'h', 'i', 'z', 'o', 'x', 'c', 'l', 'k', 'm', 'd', 'j', 's', 'u', 'a', 't', 'r', 'f', 'q', 'b', 'v']
x10/3 : ['w', 'n', 'e', 'x', 'g', 'p', 'h', 'i', 'z', 'o', 'y', 'c', 'l', 'k', 'm', 'd', 'j', 's', 'u', 'a', 't', 'r', 'f', 'q', 'b', 'v']
pb/n : ['w', 'b', 'e', 'x', 'g', 'p', 'h', 'i', 'z', 'o', 'y', 'c', 'l', 'k', 'm', 'd', 'j', 's', 'u', 'a', 't', 'r', 'f', 'q', 'n', 'v']
x2/13 : ['w', 'b', 'k', 'x', 'g', 'p', 'h', 'i', 'z', 'o', 'y', 'c', 'l', 'e', 'm', 'd', 'j', 's', 'u', 'a', 't', 'r', 'f', 'q', 'n', 'v']
s3 : ['q', 'n', 'v', 'w', 'b', 'k', 'x', 'g', 'p', 'h', 'i', 'z', 'o', 'y', 'c', 'l', 'e', 'm', 'd', 'j', 's', 'u', 'a', 't', 'r', 'f']
x15/3 : ['q', 'n', 'v', 'l', 'b', 'k', 'x', 'g', 'p', 'h', 'i', 'z', 'o', 'y', 'c', 'w', 'e', 'm', 'd', 'j', 's', 'u', 'a', 't', 'r', 'f']
ph/c : ['q', 'n', 'v', 'l', 'b', 'k', 'x', 'g', 'p', 'c', 'i', 'z', 'o', 'y', 'h', 'w', 'e', 'm', 'd', 'j', 's', 'u', 'a', 't', 'r', 'f']
s14 : ['o', 'y', 'h', 'w', 'e', 'm', 'd', 'j', 's', 'u', 'a', 't', 'r', 'f', 'q', 'n', 'v', 'l', 'b', 'k', 'x', 'g', 'p', 'c', 'i', 'z']
x1/8 : ['o', 's', 'h', 'w', 'e', 'm', 'd', 'j', 'y', 'u', 'a', 't', 'r', 'f', 'q', 'n', 'v', 'l', 'b', 'k', 'x', 'g', 'p', 'c', 'i', 'z']
s10 : ['v', 'l', 'b', 'k', 'x', 'g', 'p', 'c', 'i', 'z', 'o', 's', 'h', 'w', 'e', 'm', 'd', 'j', 'y', 'u', 'a', 't', 'r', 'f', 'q', 'n']
x13/10 : ['v', 'l', 'b', 'k', 'x', 'g', 'p', 'c', 'i', 'z', 'w', 's', 'h', 'o', 'e', 'm', 'd', 'j', 'y', 'u', 'a', 't', 'r', 'f', 'q', 'n']
s5 : ['t', 'r', 'f', 'q', 'n', 'v', 'l', 'b', 'k', 'x', 'g', 'p', 'c', 'i', 'z', 'w', 's', 'h', 'o', 'e', 'm', 'd', 'j', 'y', 'u', 'a']
x14/7 : ['t', 'r', 'f', 'q', 'n', 'v', 'l', 'z', 'k', 'x', 'g', 'p', 'c', 'i', 'b', 'w', 's', 'h', 'o', 'e', 'm', 'd', 'j', 'y', 'u', 'a']
s7 : ['e', 'm', 'd', 'j', 'y', 'u', 'a', 't', 'r', 'f', 'q', 'n', 'v', 'l', 'z', 'k', 'x', 'g', 'p', 'c', 'i', 'b', 'w', 's', 'h', 'o']
x1/5 : ['e', 'u', 'd', 'j', 'y', 'm', 'a', 't', 'r', 'f', 'q', 'n', 'v', 'l', 'z', 'k', 'x', 'g', 'p', 'c', 'i', 'b', 'w', 's', 'h', 'o']
pk/f : ['e', 'u', 'd', 'j', 'y', 'm', 'a', 't', 'r', 'k', 'q', 'n', 'v', 'l', 'z', 'f', 'x', 'g', 'p', 'c', 'i', 'b', 'w', 's', 'h', 'o']
x7/0 : ['t', 'u', 'd', 'j', 'y', 'm', 'a', 'e', 'r', 'k', 'q', 'n', 'v', 'l', 'z', 'f', 'x', 'g', 'p', 'c', 'i', 'b', 'w', 's', 'h', 'o']
s11 : ['f', 'x', 'g', 'p', 'c', 'i', 'b', 'w', 's', 'h', 'o', 't', 'u', 'd', 'j', 'y', 'm', 'a', 'e', 'r', 'k', 'q', 'n', 'v', 'l', 'z']
x13/2 : ['f', 'x', 'd', 'p', 'c', 'i', 'b', 'w', 's', 'h', 'o', 't', 'u', 'g', 'j', 'y', 'm', 'a', 'e', 'r', 'k', 'q', 'n', 'v', 'l', 'z']
pc/d : ['f', 'x', 'c', 'p', 'd', 'i', 'b', 'w', 's', 'h', 'o', 't', 'u', 'g', 'j', 'y', 'm', 'a', 'e', 'r', 'k', 'q', 'n', 'v', 'l', 'z']
x8/10 : ['f', 'x', 'c', 'p', 'd', 'i', 'b', 'w', 'o', 'h', 's', 't', 'u', 'g', 'j', 'y', 'm', 'a', 'e', 'r', 'k', 'q', 'n', 'v', 'l', 'z']
pi/h : ['f', 'x', 'c', 'p', 'd', 'h', 'b', 'w', 'o', 'i', 's', 't', 'u', 'g', 'j', 'y', 'm', 'a', 'e', 'r', 'k', 'q', 'n', 'v', 'l', 'z']
x5/1 : ['f', 'h', 'c', 'p', 'd', 'x', 'b', 'w', 'o', 'i', 's', 't', 'u', 'g', 'j', 'y', 'm', 'a', 'e', 'r', 'k', 'q', 'n', 'v', 'l', 'z']
pe/f : ['e', 'h', 'c', 'p', 'd', 'x', 'b', 'w', 'o', 'i', 's', 't', 'u', 'g', 'j', 'y', 'm', 'a', 'f', 'r', 'k', 'q', 'n', 'v', 'l', 'z']
s8 : ['f', 'r', 'k', 'q', 'n', 'v', 'l', 'z', 'e', 'h', 'c', 'p', 'd', 'x', 'b', 'w', 'o', 'i', 's', 't', 'u', 'g', 'j', 'y', 'm', 'a']
pa/j : ['f', 'r', 'k', 'q', 'n', 'v', 'l', 'z', 'e', 'h', 'c', 'p', 'd', 'x', 'b', 'w', 'o', 'i', 's', 't', 'u', 'g', 'a', 'y', 'm', 'j']
x13/10 : ['f', 'r', 'k', 'q', 'n', 'v', 'l', 'z', 'e', 'h', 'x', 'p', 'd', 'c', 'b', 'w', 'o', 'i', 's', 't', 'u', 'g', 'a', 'y', 'm', 'j']
pc/f : ['c', 'r', 'k', 'q', 'n', 'v', 'l', 'z', 'e', 'h', 'x', 'p', 'd', 'f', 'b', 'w', 'o', 'i', 's', 't', 'u', 'g', 'a', 'y', 'm', 'j']
s12 : ['b', 'w', 'o', 'i', 's', 't', 'u', 'g', 'a', 'y', 'm', 'j', 'c', 'r', 'k', 'q', 'n', 'v', 'l', 'z', 'e', 'h', 'x', 'p', 'd', 'f']
x9/12 : ['b', 'w', 'o', 'i', 's', 't', 'u', 'g', 'a', 'c', 'm', 'j', 'y', 'r', 'k', 'q', 'n', 'v', 'l', 'z', 'e', 'h', 'x', 'p', 'd', 'f']
pa/h : ['b', 'w', 'o', 'i', 's', 't', 'u', 'g', 'h', 'c', 'm', 'j', 'y', 'r', 'k', 'q', 'n', 'v', 'l', 'z', 'e', 'a', 'x', 'p', 'd', 'f']
x7/0 : ['g', 'w', 'o', 'i', 's', 't', 'u', 'b', 'h', 'c', 'm', 'j', 'y', 'r', 'k', 'q', 'n', 'v', 'l', 'z', 'e', 'a', 'x', 'p', 'd', 'f']
s15 : ['j', 'y', 'r', 'k', 'q', 'n', 'v', 'l', 'z', 'e', 'a', 'x', 'p', 'd', 'f', 'g', 'w', 'o', 'i', 's', 't', 'u', 'b', 'h', 'c', 'm']
x8/13 : ['j', 'y', 'r', 'k', 'q', 'n', 'v', 'l', 'd', 'e', 'a', 'x', 'p', 'z', 'f', 'g', 'w', 'o', 'i', 's', 't', 'u', 'b', 'h', 'c', 'm']
s8 : ['i', 's', 't', 'u', 'b', 'h', 'c', 'm', 'j', 'y', 'r', 'k', 'q', 'n', 'v', 'l', 'd', 'e', 'a', 'x', 'p', 'z', 'f', 'g', 'w', 'o']
x15/11 : ['i', 's', 't', 'u', 'b', 'h', 'c', 'm', 'j', 'y', 'r', 'l', 'q', 'n', 'v', 'k', 'd', 'e', 'a', 'x', 'p', 'z', 'f', 'g', 'w', 'o']
pl/d : ['i', 's', 't', 'u', 'b', 'h', 'c', 'm', 'j', 'y', 'r', 'd', 'q', 'n', 'v', 'k', 'l', 'e', 'a', 'x', 'p', 'z', 'f', 'g', 'w', 'o']
x2/8 : ['i', 's', 'j', 'u', 'b', 'h', 'c', 'm', 't', 'y', 'r', 'd', 'q', 'n', 'v', 'k', 'l', 'e', 'a', 'x', 'p', 'z', 'f', 'g', 'w', 'o']
s8 : ['a', 'x', 'p', 'z', 'f', 'g', 'w', 'o', 'i', 's', 'j', 'u', 'b', 'h', 'c', 'm', 't', 'y', 'r', 'd', 'q', 'n', 'v', 'k', 'l', 'e']
x3/14 : ['a', 'x', 'p', 'c', 'f', 'g', 'w', 'o', 'i', 's', 'j', 'u', 'b', 'h', 'z', 'm', 't', 'y', 'r', 'd', 'q', 'n', 'v', 'k', 'l', 'e']
s1 : ['e', 'a', 'x', 'p', 'c', 'f', 'g', 'w', 'o', 'i', 's', 'j', 'u', 'b', 'h', 'z', 'm', 't', 'y', 'r', 'd', 'q', 'n', 'v', 'k', 'l']
pa/e : ['a', 'e', 'x', 'p', 'c', 'f', 'g', 'w', 'o', 'i', 's', 'j', 'u', 'b', 'h', 'z', 'm', 't', 'y', 'r', 'd', 'q', 'n', 'v', 'k', 'l']
x4/8 : ['a', 'e', 'x', 'p', 'o', 'f', 'g', 'w', 'c', 'i', 's', 'j', 'u', 'b', 'h', 'z', 'm', 't', 'y', 'r', 'd', 'q', 'n', 'v', 'k', 'l']
pp/n : ['a', 'e', 'x', 'n', 'o', 'f', 'g', 'w', 'c', 'i', 's', 'j', 'u', 'b', 'h', 'z', 'm', 't', 'y', 'r', 'd', 'q', 'p', 'v', 'k', 'l']
x0/14 : ['h', 'e', 'x', 'n', 'o', 'f', 'g', 'w', 'c', 'i', 's', 'j', 'u', 'b', 'a', 'z', 'm', 't', 'y', 'r', 'd', 'q', 'p', 'v', 'k', 'l']
s3 : ['v', 'k', 'l', 'h', 'e', 'x', 'n', 'o', 'f', 'g', 'w', 'c', 'i', 's', 'j', 'u', 'b', 'a', 'z', 'm', 't', 'y', 'r', 'd', 'q', 'p']
x10/12 : ['v', 'k', 'l', 'h', 'e', 'x', 'n', 'o', 'f', 'g', 'i', 'c', 'w', 's', 'j', 'u', 'b', 'a', 'z', 'm', 't', 'y', 'r', 'd', 'q', 'p']
pg/c : ['v', 'k', 'l', 'h', 'e', 'x', 'n', 'o', 'f', 'c', 'i', 'g', 'w', 's', 'j', 'u', 'b', 'a', 'z', 'm', 't', 'y', 'r', 'd', 'q', 'p']
x14/9 : ['v', 'k', 'l', 'h', 'e', 'x', 'n', 'o', 'f', 'j', 'i', 'g', 'w', 's', 'c', 'u', 'b', 'a', 'z', 'm', 't', 'y', 'r', 'd', 'q', 'p']
s2 : ['q', 'p', 'v', 'k', 'l', 'h', 'e', 'x', 'n', 'o', 'f', 'j', 'i', 'g', 'w', 's', 'c', 'u', 'b', 'a', 'z', 'm', 't', 'y', 'r', 'd']
x0/10 : ['f', 'p', 'v', 'k', 'l', 'h', 'e', 'x', 'n', 'o', 'q', 'j', 'i', 'g', 'w', 's', 'c', 'u', 'b', 'a', 'z', 'm', 't', 'y', 'r', 'd']
s11 : ['s', 'c', 'u', 'b', 'a', 'z', 'm', 't', 'y', 'r', 'd', 'f', 'p', 'v', 'k', 'l', 'h', 'e', 'x', 'n', 'o', 'q', 'j', 'i', 'g', 'w']
x9/3 : ['s', 'c', 'u', 'r', 'a', 'z', 'm', 't', 'y', 'b', 'd', 'f', 'p', 'v', 'k', 'l', 'h', 'e', 'x', 'n', 'o', 'q', 'j', 'i', 'g', 'w']
pn/a : ['s', 'c', 'u', 'r', 'n', 'z', 'm', 't', 'y', 'b', 'd', 'f', 'p', 'v', 'k', 'l', 'h', 'e', 'x', 'a', 'o', 'q', 'j', 'i', 'g', 'w']
x5/4 : ['s', 'c', 'u', 'r', 'z', 'n', 'm', 't', 'y', 'b', 'd', 'f', 'p', 'v', 'k', 'l', 'h', 'e', 'x', 'a', 'o', 'q', 'j', 'i', 'g', 'w']
s15 : ['f', 'p', 'v', 'k', 'l', 'h', 'e', 'x', 'a', 'o', 'q', 'j', 'i', 'g', 'w', 's', 'c', 'u', 'r', 'z', 'n', 'm', 't', 'y', 'b', 'd']
x12/1 : ['f', 'i', 'v', 'k', 'l', 'h', 'e', 'x', 'a', 'o', 'q', 'j', 'p', 'g', 'w', 's', 'c', 'u', 'r', 'z', 'n', 'm', 't', 'y', 'b', 'd']
s6 : ['n', 'm', 't', 'y', 'b', 'd', 'f', 'i', 'v', 'k', 'l', 'h', 'e', 'x', 'a', 'o', 'q', 'j', 'p', 'g', 'w', 's', 'c', 'u', 'r', 'z']
x14/6 : ['n', 'm', 't', 'y', 'b', 'd', 'a', 'i', 'v', 'k', 'l', 'h', 'e', 'x', 'f', 'o', 'q', 'j', 'p', 'g', 'w', 's', 'c', 'u', 'r', 'z']
pf/c : ['n', 'm', 't', 'y', 'b', 'd', 'a', 'i', 'v', 'k', 'l', 'h', 'e', 'x', 'c', 'o', 'q', 'j', 'p', 'g', 'w', 's', 'f', 'u', 'r', 'z']
s7 : ['g', 'w', 's', 'f', 'u', 'r', 'z', 'n', 'm', 't', 'y', 'b', 'd', 'a', 'i', 'v', 'k', 'l', 'h', 'e', 'x', 'c', 'o', 'q', 'j', 'p']
x15/5 : ['g', 'w', 's', 'f', 'u', 'v', 'z', 'n', 'm', 't', 'y', 'b', 'd', 'a', 'i', 'r', 'k', 'l', 'h', 'e', 'x', 'c', 'o', 'q', 'j', 'p']
s1 : ['p', 'g', 'w', 's', 'f', 'u', 'v', 'z', 'n', 'm', 't', 'y', 'b', 'd', 'a', 'i', 'r', 'k', 'l', 'h', 'e', 'x', 'c', 'o', 'q', 'j']
x12/13 : ['p', 'g', 'w', 's', 'f', 'u', 'v', 'z', 'n', 'm', 't', 'y', 'd', 'b', 'a', 'i', 'r', 'k', 'l', 'h', 'e', 'x', 'c', 'o', 'q', 'j']
s13 : ['b', 'a', 'i', 'r', 'k', 'l', 'h', 'e', 'x', 'c', 'o', 'q', 'j', 'p', 'g', 'w', 's', 'f', 'u', 'v', 'z', 'n', 'm', 't', 'y', 'd']
x9/4 : ['b', 'a', 'i', 'r', 'c', 'l', 'h', 'e', 'x', 'k', 'o', 'q', 'j', 'p', 'g', 'w', 's', 'f', 'u', 'v', 'z', 'n', 'm', 't', 'y', 'd']
s13 : ['p', 'g', 'w', 's', 'f', 'u', 'v', 'z', 'n', 'm', 't', 'y', 'd', 'b', 'a', 'i', 'r', 'c', 'l', 'h', 'e', 'x', 'k', 'o', 'q', 'j']
pb/p : ['b', 'g', 'w', 's', 'f', 'u', 'v', 'z', 'n', 'm', 't', 'y', 'd', 'p', 'a', 'i', 'r', 'c', 'l', 'h', 'e', 'x', 'k', 'o', 'q', 'j']
x10/5 : ['b', 'g', 'w', 's', 'f', 't', 'v', 'z', 'n', 'm', 'u', 'y', 'd', 'p', 'a', 'i', 'r', 'c', 'l', 'h', 'e', 'x', 'k', 'o', 'q', 'j']
pe/c : ['b', 'g', 'w', 's', 'f', 't', 'v', 'z', 'n', 'm', 'u', 'y', 'd', 'p', 'a', 'i', 'r', 'e', 'l', 'h', 'c', 'x', 'k', 'o', 'q', 'j']
x6/15 : ['b', 'g', 'w', 's', 'f', 't', 'i', 'z', 'n', 'm', 'u', 'y', 'd', 'p', 'a', 'v', 'r', 'e', 'l', 'h', 'c', 'x', 'k', 'o', 'q', 'j']
s7 : ['h', 'c', 'x', 'k', 'o', 'q', 'j', 'b', 'g', 'w', 's', 'f', 't', 'i', 'z', 'n', 'm', 'u', 'y', 'd', 'p', 'a', 'v', 'r', 'e', 'l']
x2/14 : ['h', 'c', 'z', 'k', 'o', 'q', 'j', 'b', 'g', 'w', 's', 'f', 't', 'i', 'x', 'n', 'm', 'u', 'y', 'd', 'p', 'a', 'v', 'r', 'e', 'l']
s15 : ['f', 't', 'i', 'x', 'n', 'm', 'u', 'y', 'd', 'p', 'a', 'v', 'r', 'e', 'l', 'h', 'c', 'z', 'k', 'o', 'q', 'j', 'b', 'g', 'w', 's']
x7/6 : ['f', 't', 'i', 'x', 'n', 'm', 'y', 'u', 'd', 'p', 'a', 'v', 'r', 'e', 'l', 'h', 'c', 'z', 'k', 'o', 'q', 'j', 'b', 'g', 'w', 's']
s13 : ['e', 'l', 'h', 'c', 'z', 'k', 'o', 'q', 'j', 'b', 'g', 'w', 's', 'f', 't', 'i', 'x', 'n', 'm', 'y', 'u', 'd', 'p', 'a', 'v', 'r']
x5/10 : ['e', 'l', 'h', 'c', 'z', 'g', 'o', 'q', 'j', 'b', 'k', 'w', 's', 'f', 't', 'i', 'x', 'n', 'm', 'y', 'u', 'd', 'p', 'a', 'v', 'r']
pb/l : ['e', 'b', 'h', 'c', 'z', 'g', 'o', 'q', 'j', 'l', 'k', 'w', 's', 'f', 't', 'i', 'x', 'n', 'm', 'y', 'u', 'd', 'p', 'a', 'v', 'r']
x9/7 : ['e', 'b', 'h', 'c', 'z', 'g', 'o', 'l', 'j', 'q', 'k', 'w', 's', 'f', 't', 'i', 'x', 'n', 'm', 'y', 'u', 'd', 'p', 'a', 'v', 'r']
s14 : ['s', 'f', 't', 'i', 'x', 'n', 'm', 'y', 'u', 'd', 'p', 'a', 'v', 'r', 'e', 'b', 'h', 'c', 'z', 'g', 'o', 'l', 'j', 'q', 'k', 'w']
